A,vitamin A,retinol
B1,vitamin B1,thiamin,thiamine
B2,vitamin B2,riboflavin
B3,vitamin B3,niacin
B5,vitamin B5,pantothenic acid
B6,vitamin B6
B9,vitamin B9,folate
B12,vitamin B12
C,vitamin C
D,vitamin D,D2,vitamin D2,D3,vitamin D3
E,vitamin E
K1,vitamin K1
K2,vitamin K2
H,vitamin H,biotin,B7,vitamin B7,B8,vitamin B8
choline
fat
saturated,saturated fat,saturated fats
monounsaturated
polyunsaturated
trans_fat
carbohydrate
cholesterol
sugar
fibre
protein
salt
omega 3
omega 6
postassium
chloride
calcium
phosphorus
magnesium
iron
zinc
copper
manganese
selenium
chromium
molybdenum
sodium
iodine
