name,loss-type (default: target-sym),parameters
energy,,2772
fat,relative-max,0.35
saturated,relative-max,0.11
carbohydrate,target-relative-sym,0.50
sugar,relative-max,0.5
protein,target-asym,60,1.5,1
fibre,target-asym,30,1.5,1
salt,max,6
thiamin,min,1e-3
riboflavin,min,1.3e-3
niacin,min,17e-3
B6,min,1.4e-3
B12,min,1.5e-6
folate,min,200e-6
C,min,40e-3
A,min,700e-6
D,min,10e-6
calcium,target-asym,700e-3,1,0.5
phosphorus,target-relative-to-asym,calcium,0.775,1,0.5
magnesium,target-asym,300e-3,1,0.5
sodium,target-asym,1.6,1,0.5
potassium,target-asym,3.5,1,0.5
chloride,target-relative-to-asym,sodium,1.54,1,0.5
iron,target-asym,8.7e-3,1,0.5
zinc,target-asym,9.5e-3,1,0.5
copper,target-asym,1.2e-3,1,0.5
selenium,target-asym,75e-6,1,0.5
iodine,target-asym,140e-6,1,0.5
